Scenario - mult1A.sce
Logfile written - 06/28/2017 12:19:55

Subject	Trial	Event Type	Code	block(str)	triplet(str)	object(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

00	1	Picture	inst1	inst1			10100	0	1	67343	1	0	next	other	0
00	1	Response	4				77403	67304	0
00	2	Picture	t24;3	t24;3			77443	0	1	8105	1	0	8000	other	0
00	3	Picture	t10;3	t10;3			87549	0	1	8105	1	0	8000	other	0
00	4	Picture	t19;3	t19;3			97655	0	1	8105	1	0	8000	other	0
00	5	Picture	t11;7	t11;7			107762	0	1	8105	1	0	8000	other	0
00	6	Picture	t23;7	t23;7			117868	0	1	8105	1	0	8000	other	0
00	7	Picture	t17;7	t17;7			127975	0	1	8105	1	0	8000	other	0
00	8	Picture	t1;5	t1;5			138081	0	1	8105	1	0	8000	other	0
00	9	Picture	t4;5	t4;5			148187	0	1	8105	1	0	8000	other	0
00	10	Picture	t9;5	t9;5			158294	0	1	8105	1	0	8000	other	0
00	11	Picture	t22;8	t22;8			168400	0	1	8105	1	0	8000	other	0
00	12	Picture	t2;8	t2;8			178507	0	1	8105	1	0	8000	other	0
00	13	Picture	t16;8	t16;8			188613	0	1	8105	1	0	8000	other	0
00	14	Picture	t20;4	t20;4			198720	0	1	8105	1	0	8000	other	0
00	15	Picture	t15;4	t15;4			208826	0	1	8105	1	0	8000	other	0
00	16	Picture	t7;4	t7;4			218932	0	1	8105	1	0	8000	other	0
00	17	Picture	t13;6	t13;6			229039	0	1	8105	1	0	8000	other	0
00	18	Picture	t12;6	t12;6			239145	0	1	8105	1	0	8000	other	0
00	19	Picture	t3;6	t3;6			249252	0	1	8105	1	0	8000	other	0
00	20	Picture	t5;1	t5;1			259358	0	1	8105	1	0	8000	other	0
00	21	Picture	t21;1	t21;1			269464	0	1	8105	1	0	8000	other	0
00	22	Picture	t18;1	t18;1			279571	0	1	8105	1	0	8000	other	0
00	23	Picture	t14;2	t14;2			289677	0	1	8105	1	0	8000	other	0
00	24	Picture	t8;2	t8;2			299784	0	1	8105	1	0	8000	other	0
00	25	Picture	t6;2	t6;2			309890	0	1	8105	1	0	8000	other	0
00	26	Picture	t5;1	t5;1			319997	0	1	8105	1	0	8000	other	0
00	27	Picture	t21;1	t21;1			330103	0	1	8105	1	0	8000	other	0
00	28	Picture	t18;1	t18;1			340209	0	1	8105	1	0	8000	other	0
00	29	Picture	t14;2	t14;2			350316	0	1	8105	1	0	8000	other	0
00	30	Picture	t8;2	t8;2			360422	0	1	8105	1	0	8000	other	0
00	31	Picture	t6;2	t6;2			370529	0	1	8105	1	0	8000	other	0
00	32	Picture	t1;5	t1;5			380635	0	1	8105	1	0	8000	other	0
00	33	Picture	t4;5	t4;5			390742	0	1	8105	1	0	8000	other	0
00	34	Picture	t9;5	t9;5			400848	0	1	8105	1	0	8000	other	0
00	35	Picture	t13;6	t13;6			410954	0	1	8105	1	0	8000	other	0
00	36	Picture	t12;6	t12;6			421061	0	1	8105	1	0	8000	other	0
00	37	Picture	t3;6	t3;6			431167	0	1	8105	1	0	8000	other	0
00	38	Picture	t11;7	t11;7			441274	0	1	8105	1	0	8000	other	0
00	39	Picture	t23;7	t23;7			451380	0	1	8105	1	0	8000	other	0
00	40	Picture	t17;7	t17;7			461487	0	1	8105	1	0	8000	other	0
00	41	Picture	t22;8	t22;8			471593	0	1	8105	1	0	8000	other	0
00	42	Picture	t2;8	t2;8			481699	0	1	8105	1	0	8000	other	0
00	43	Picture	t16;8	t16;8			491806	0	1	8105	1	0	8000	other	0
00	44	Picture	t24;3	t24;3			501912	0	1	8105	1	0	8000	other	0
00	45	Picture	t10;3	t10;3			512019	0	1	8105	1	0	8000	other	0
00	46	Picture	t19;3	t19;3			522125	0	1	8105	1	0	8000	other	0
00	47	Picture	t20;4	t20;4			532231	0	1	8105	1	0	8000	other	0
00	48	Picture	t15;4	t15;4			542338	0	1	8105	1	0	8000	other	0
00	49	Picture	t7;4	t7;4			552444	0	1	8105	1	0	8000	other	0
